site,site_code,sector_area,level_unit,sublevel_phase,cultural_attribution,cultural_attribution_confidence,sample_id,lab_code,method,pretreatment,sample_type,taxon_material,age_result,error_1sigma,age_scale_original,curve,reference,year_sample_or_measure,relation_to_human_presence,context_role,evaluation_final,same_sample_group,bin_id,use_14c_primary,use_mixed_all_methods,use_human_presence,use_cultural_subset,selection_note
Riera dels Canyars,CY,Cala A-Rasa D,I,Ia,Early Aurignacian,low,RC-001,Beta-273965,14C,ABA,charcoal,Pinus sylvestris-type,33800,350,14C_BP,IntCal20,Daura et al. 2013,,indirect_contextual,dates_archaeological_unit,include,,CY_CalaA_RasaD_I_Ia,yes,yes,yes,no,"Accepted charcoal 14C from layer Ia in mixed paleochannel context; usable for local sequence and indirect human-presence analyses, but not for cultural subset because attribution is weak."
Riera dels Canyars,CY,Cala A-Rasa D,I,Ia,Early Aurignacian,low,RC-002,OxA-23643,14C,ABA,charcoal,Pinus sylvestris-type,34540,330,14C_BP,IntCal20,Daura et al. 2013,,indirect_contextual,dates_archaeological_unit,include,CY_RC-002,CY_CalaA_RasaD_I_Ia,yes,yes,yes,no,"Accepted charcoal 14C; same physical sample as OxA-2416-44, so retain as separate analytical determination but group to avoid over-weighting; not used for cultural subset."
Riera dels Canyars,CY,Cala A-Rasa D,I,Ia,Early Aurignacian,low,RC-002,OxA-2416-44,14C,ABOx-SC,charcoal,Pinus sylvestris-type,34980,350,14C_BP,IntCal20,Daura et al. 2013,,indirect_contextual,dates_archaeological_unit,include,CY_RC-002,CY_CalaA_RasaD_I_Ia,yes,yes,yes,no,"Accepted charcoal 14C; same physical sample as OxA-23643, so retain as separate analytical determination but group to avoid over-weighting; not used for cultural subset."
Riera dels Canyars,CY,Cala A-Rasa D,I,Ia,Early Aurignacian,low,RC-003,OxA-23644,14C,ABA,charcoal,Pinus sylvestris-type,34810,360,14C_BP,IntCal20,Daura et al. 2013,,indirect_contextual,dates_archaeological_unit,include,CY_RC-003,CY_CalaA_RasaD_I_Ia,yes,yes,yes,no,"Accepted charcoal 14C; same physical sample as OxA-24057, so retain as separate analytical determination but group to avoid over-weighting; not used for cultural subset."
Riera dels Canyars,CY,Cala A-Rasa D,I,Ia,Early Aurignacian,low,RC-003,OxA-24057,14C,ABOx-SC,charcoal,Pinus sylvestris-type,34900,340,14C_BP,IntCal20,Daura et al. 2013,,indirect_contextual,dates_archaeological_unit,include,CY_RC-003,CY_CalaA_RasaD_I_Ia,yes,yes,yes,no,"Accepted charcoal 14C; same physical sample as OxA-23644, so retain as separate analytical determination but group to avoid over-weighting; not used for cultural subset."
