"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 54.6
Aoverall 55",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End FO Unit-II",,,,,"9445","8083","9894","4437",,,,,75.8,
"Span Span FO Unit-II",,,,,"187","1538","0","6014",,,,,87.2,
"FO Unit-II age",,,,,"10932","8651","16382","5927",,,,,89.9,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9452","9311","11989","9147",,95.1,,90.6,87.8,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9891","9694","10117","9553",,101.7,,97.2,98.8,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"12196","9622","20320","9407",,,,,81.7,
"Curve Atmospheric reset after IIIn",,,,,,,,,,,,,,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"13043","19548","4070","19769",,,,,90.2,
"Boundary End FO Unit-IIIn",,,,,"29559","26460","29831","18367",,,,,96.3,
"Span Span FO Unit-IIIn",,,,,"321","1919","0","6149",,,,,99.7,
"FO Unit-IIIn age",,,,,"30952","28132","33034","23279",,,,,99.6,
"R_Date FO-004 Beta-674118 H. sanguineum","29410","29061","29630","28925","29451","29075","29695","28918",,99.7,,98,99.7,
"R_Date FO-003 OxA-24646 H. sanguineum","30111","29856","30271","29706","30103","29839","30285","29641",,101.7,,97.9,99.8,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-75.5","-12.5","-105","17.5",,99.5,,,99.9,
"Curve Marine20 FO IIIn",,,,,,,,,,,,,,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"31670","29871","33673","29725",,,,,99.3,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1108","4206","0","4553",,,,,99,
"Boundary End FO Unit-IIIc",,,,,"34832","33030","35195","30755",,,,,98.7,
"Span Span FO Unit-IIIc",,,,,"2115","3723","0","4666",,,,,97.7,
"FO Unit-IIIc age",,,,,"37413","34425","38674","32957",,,,,97.9,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37021","35763","37908","34856",,104,,96.6,98.6,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","38041","36874","38907","34551",,91.6,,89.4,98.6,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35076","34398","35372","34167",,93.5,,94.5,99.5,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38838","37292","39619","35685",,,,,98.3,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"0","1230","0","2244",,,,,98.3,
"Boundary End FO Unit-IV.1-IV",,,,,"39770","38625","40131","36014",,,,,96.9,
"Span Span FO Unit-IV.1-IV",,,,,"0","1068","0","3432",,,,,96.8,
"FO Unit-IV.1-IV age",,,,,"40145","39093","41438","37852",,,,,97.9,
"R_Date FO-011 MAMS-33909 Lynx pardinus","35310","34874","35444","34691","40129","39024","41441","37479",,29.9,,0.5,95.8,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40080","39151","40903","38197",,137,,83.1,98.2,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39835","39426","40109","39250",,101.9,,,99,
"R_Date FO-008 Beta-414539 AAA","36448","36057","36763","35771","40139","39042","41192","36107",,31.9,,3.4,95.9,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"40516","39470","42272","39263",,,,,92.3,
"Sequence FO_local_baseline_v1",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","3.3","3.816","3.104","4",,100,,,25.6,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,69.2,
"Outlier_Model General",,,,,"2541","5139","-1914","5850",,,,,77.2,
"Curve Atmospheric",,,,,,,,,,,,,,
