age_b2k,age_ka_cal_bp,ngrip_depth_m,d18o_permil,core_id
32320,32.270,1946.41,-40.70,1123
32340,32.290,1946.96,-40.42,1124
32360,32.310,1947.49,-40.44,1126
32380,32.330,1948.01,-39.83,1129
32400,32.350,1948.59,-39.04,1129
32420,32.370,1949.20,-40.38,1130
32440,32.390,1949.79,-39.61,1130
32460,32.410,1950.41,-38.81,1130
32480,32.430,1951.02,-38.91,1131
32500,32.450,1951.65,-40.14,1132
32520,32.470,1952.12,-42.38,1132
32540,32.490,1952.45,-43.82,1133
32560,32.510,1952.71,-43.57,1134
32580,32.530,1953.00,-44.14,1135
32600,32.550,1953.27,-43.77,1136
32620,32.570,1953.58,-43.67,1139
32640,32.590,1953.92,-43.30,1140
32660,32.610,1954.26,-44.81,1141
32680,32.630,1954.58,-43.29,1143
32700,32.650,1954.82,-45.77,1145
32720,32.670,1955.10,-44.61,1146
32740,32.690,1955.38,-44.58,1149
32760,32.710,1955.67,-43.09,1151
32780,32.730,1955.96,-43.42,1155
32800,32.750,1956.25,-45.03,1157
32820,32.770,1956.53,-45.25,1159
32840,32.790,1956.82,-44.84,1161
32860,32.810,1957.11,-44.81,1163
32880,32.830,1957.42,-45.78,1164
32900,32.850,1957.72,-44.23,1166
32920,32.870,1958.02,-44.07,1168
32940,32.890,1958.28,-43.85,1169
32960,32.910,1958.57,-42.07,1169
32980,32.930,1958.85,-42.72,1171
33000,32.950,1959.16,-44.33,1171
33020,32.970,1959.46,-43.76,1172
33040,32.990,1959.76,-43.83,1172
33060,33.010,1960.01,-42.67,1173
33080,33.030,1960.25,-43.84,1173
33100,33.050,1960.55,-44.33,1174
33120,33.070,1960.82,-44.15,1175
33140,33.090,1961.07,-44.25,1176
33160,33.110,1961.35,-43.29,1177
33180,33.130,1961.65,-42.87,1179
33200,33.150,1961.91,-42.70,1181
33220,33.170,1962.23,-43.14,1182
33240,33.190,1962.49,-44.70,1184
33260,33.210,1962.76,-43.02,1185
33280,33.230,1963.03,-43.44,1187
33300,33.250,1963.32,-43.61,1188
33320,33.270,1963.61,-45.89,1190
33340,33.290,1963.95,-43.29,1190
33360,33.310,1964.30,-43.35,1191
33380,33.330,1964.62,-41.90,1192
33400,33.350,1965.14,-41.15,1192
33420,33.370,1965.64,-41.56,1193
33440,33.390,1966.18,-40.98,1194
33460,33.410,1966.73,-39.74,1195
33480,33.430,1967.27,-40.08,1195
33500,33.450,1967.79,-39.61,1196
33520,33.470,1968.38,-40.44,1196
33540,33.490,1968.97,-40.32,1197
33560,33.510,1969.54,-38.92,1199
33580,33.530,1970.10,-39.98,1200
33600,33.550,1970.70,-39.96,1201
33620,33.570,1971.23,-39.70,1202
33640,33.590,1971.75,-39.91,1203
33660,33.610,1972.32,-40.07,1204
33680,33.630,1972.97,-38.59,1206
33700,33.650,1973.59,-39.06,1209
33720,33.670,1974.16,-39.83,1210
33740,33.690,1974.55,-40.52,1212
33760,33.710,1974.91,-41.82,1215
33780,33.730,1975.29,-41.98,1217
33800,33.750,1975.62,-42.06,1220
33820,33.770,1975.97,-42.39,1221
33840,33.790,1976.34,-42.40,1222
33860,33.810,1976.65,-42.16,1224
33880,33.830,1977.00,-44.12,1224
33900,33.850,1977.33,-41.36,1226
33920,33.870,1977.65,-43.39,1228
33940,33.890,1977.99,-42.95,1230
33960,33.910,1978.28,-42.82,1231
33980,33.930,1978.58,-44.86,1232
34000,33.950,1978.90,-42.81,1233
34020,33.970,1979.21,-43.39,1235
34040,33.990,1979.53,-42.27,1237
34060,34.010,1979.86,-42.68,1238
34080,34.030,1980.14,-43.05,1240
34100,34.050,1980.42,-42.22,1241
34120,34.070,1980.70,-43.30,1243
34140,34.090,1981.02,-43.07,1243
34160,34.110,1981.33,-42.13,1244
34180,34.130,1981.63,-42.34,1245
34200,34.150,1981.91,-43.38,1246
34220,34.170,1982.21,-43.15,1249
34240,34.190,1982.55,-41.84,1251
34260,34.210,1982.85,-42.67,1252
34280,34.230,1983.13,-42.30,1254
34300,34.250,1983.48,-43.47,1255
34320,34.270,1983.78,-44.04,1257
34340,34.290,1984.08,-43.38,1258
34360,34.310,1984.38,-42.35,1259
34380,34.330,1984.69,-42.41,1260
34400,34.350,1984.99,-44.39,1262
34420,34.370,1985.31,-42.63,1264
34440,34.390,1985.64,-43.15,1265
34460,34.410,1986.00,-42.33,1267
34480,34.430,1986.32,-41.98,1268
34500,34.450,1986.56,-43.23,1269
34520,34.470,1986.87,-42.70,1270
34540,34.490,1987.14,-43.39,1271
34560,34.510,1987.43,-43.95,1272
34580,34.530,1987.71,-42.59,1274
34600,34.550,1988.00,-43.10,1275
34620,34.570,1988.31,-43.92,1277
34640,34.590,1988.61,-43.51,1278
34660,34.610,1988.88,-41.78,1280
34680,34.630,1989.26,-41.32,1282
34700,34.650,1989.58,-42.26,1282
34720,34.670,1989.94,-43.09,1283
34740,34.690,1990.28,-44.35,1286
34760,34.710,1990.74,-40.90,1286
34780,34.730,1991.25,-40.22,1288
34800,34.750,1991.75,-39.35,1289
34820,34.770,1992.28,-40.40,1291
34840,34.790,1992.79,-40.99,1291
34860,34.810,1993.30,-40.21,1292
34880,34.830,1993.79,-40.35,1293
34900,34.850,1994.21,-41.16,1294
34920,34.870,1994.67,-40.45,1295
34940,34.890,1995.19,-41.79,1295
34960,34.910,1995.66,-40.08,1297
34980,34.930,1996.15,-41.30,1297
35000,34.950,1996.54,-41.06,1298
35020,34.970,1997.04,-41.15,1299
35040,34.990,1997.52,-40.04,1299
35060,35.010,1998.06,-39.72,1299
35080,35.030,1998.50,-39.08,1300
35100,35.050,1999.04,-39.52,1301
35120,35.070,1999.58,-40.02,1302
35140,35.090,2000.08,-40.36,1303
35160,35.110,2000.63,-39.75,1304
35180,35.130,2001.14,-39.31,1305
35200,35.150,2001.70,-40.11,1307
35220,35.170,2002.23,-40.46,1307
35240,35.190,2002.75,-38.74,1309
35260,35.210,2003.34,-39.64,1309
35280,35.230,2003.89,-39.32,1311
35300,35.250,2004.43,-39.82,1311
35320,35.270,2005.00,-39.21,1312
35340,35.290,2005.55,-39.61,1314
35360,35.310,2006.09,-38.48,1315
35380,35.330,2006.65,-38.81,1316
35400,35.350,2007.16,-39.45,1317
35420,35.370,2007.75,-38.80,1318
35440,35.390,2008.32,-38.25,1319
35460,35.410,2008.88,-39.18,1320
35480,35.430,2009.44,-39.46,1321
35500,35.450,2009.93,-40.96,1321
35520,35.470,2010.33,-42.74,1323
35540,35.490,2010.70,-42.95,1324
35560,35.510,2011.04,-44.65,1324
35580,35.530,2011.36,-40.86,1325
35600,35.550,2011.65,-43.18,1326
35620,35.570,2011.94,-42.78,1326
35640,35.590,2012.23,-42.88,1328
35660,35.610,2012.49,-41.54,1330
35680,35.630,2012.82,-42.92,1330
35700,35.650,2013.11,-42.91,1332
35720,35.670,2013.43,-41.75,1333
35740,35.690,2013.71,-41.57,1336
35760,35.710,2014.03,-41.30,1337
35780,35.730,2014.28,-44.02,1338
35800,35.750,2014.58,-43.05,1338
35820,35.770,2014.88,-43.14,1340
35840,35.790,2015.18,-44.11,1342
35860,35.810,2015.47,-44.88,1344
35880,35.830,2015.75,-44.37,1347
35900,35.850,2016.04,-44.75,1348
35920,35.870,2016.33,-43.88,1349
35940,35.890,2016.60,-44.02,1351
35960,35.910,2016.91,-41.76,1352
35980,35.930,2017.22,-43.07,1353
36000,35.950,2017.51,-42.45,1355
36020,35.970,2017.80,-43.33,1355
36040,35.990,2018.10,-43.34,1356
36060,36.010,2018.37,-43.63,1358
36080,36.030,2018.69,-43.20,1360
36100,36.050,2018.98,-43.09,1361
36120,36.070,2019.27,-43.11,1362
36140,36.090,2019.55,-42.56,1364
36160,36.110,2019.82,-43.05,1365
36180,36.130,2020.11,-42.43,1366
36200,36.150,2020.42,-40.64,1368
36220,36.170,2020.70,-43.78,1369
36240,36.190,2021.00,-42.71,1372
36260,36.210,2021.32,-43.12,1373
36280,36.230,2021.63,-43.18,1373
36300,36.250,2021.94,-44.56,1374
36320,36.270,2022.25,-42.31,1376
36340,36.290,2022.54,-43.35,1377
36360,36.310,2022.85,-41.17,1378
36380,36.330,2023.16,-41.89,1380
36400,36.350,2023.50,-42.49,1382
36420,36.370,2023.83,-43.57,1384
36440,36.390,2024.15,-41.99,1385
36460,36.410,2024.53,-43.74,1387
36480,36.430,2024.97,-41.83,1389
36500,36.450,2025.35,-41.87,1391
36520,36.470,2025.71,-41.40,1393
36540,36.490,2026.02,-43.40,1395
36560,36.510,2026.33,-43.00,1396
36580,36.530,2026.66,-43.04,1397
36600,36.550,2027.03,-42.38,1398
36620,36.570,2027.43,-41.52,1400
36640,36.590,2027.78,-41.92,1401
36660,36.610,2028.17,-39.88,1402
36680,36.630,2028.60,-40.22,1403
36700,36.650,2029.03,-41.79,1403
36720,36.670,2029.47,-41.09,1403
36740,36.690,2029.90,-40.73,1403
36760,36.710,2030.34,-41.32,1404
36780,36.730,2030.75,-41.36,1404
36800,36.750,2031.20,-41.23,1405
36820,36.770,2031.65,-41.37,1406
36840,36.790,2032.15,-39.93,1407
36860,36.810,2032.67,-41.13,1408
36880,36.830,2033.18,-41.21,1410
36900,36.850,2033.57,-41.19,1411
36920,36.870,2033.93,-41.51,1412
36940,36.890,2034.33,-41.47,1412
36960,36.910,2034.74,-42.16,1412
36980,36.930,2035.18,-41.18,1413
37000,36.950,2035.62,-41.03,1413
37020,36.970,2036.05,-40.84,1413
37040,36.990,2036.52,-41.21,1414
37060,37.010,2036.96,-41.45,1415
37080,37.030,2037.39,-40.73,1416
37100,37.050,2037.80,-40.78,1416
37120,37.070,2038.23,-41.31,1417
37140,37.090,2038.66,-40.04,1419
37160,37.110,2039.16,-40.52,1419
37180,37.130,2039.68,-40.26,1420
37200,37.150,2040.22,-39.92,1420
37220,37.170,2040.77,-39.47,1420
37240,37.190,2041.31,-39.69,1420
37260,37.210,2041.83,-39.35,1421
37280,37.230,2042.36,-40.40,1421
37300,37.250,2042.92,-39.95,1422
37320,37.270,2043.46,-39.39,1423
37340,37.290,2044.01,-38.89,1425
37360,37.310,2044.54,-39.43,1425
37380,37.330,2045.05,-40.84,1425
37400,37.350,2045.54,-40.19,1426
37420,37.370,2046.08,-40.76,1426
37440,37.390,2046.67,-39.03,1426
37460,37.410,2047.21,-39.16,1427
37480,37.430,2047.79,-38.75,1427
37500,37.450,2048.37,-38.55,1428
37520,37.470,2048.97,-39.31,1428
37540,37.490,2049.53,-39.96,1428
37560,37.510,2050.11,-38.60,1428
37580,37.530,2050.66,-38.63,1429
37600,37.550,2051.29,-38.50,1429
37620,37.570,2051.89,-39.60,1430
37640,37.590,2052.44,-39.04,1430
37660,37.610,2053.04,-38.70,1430
37680,37.630,2053.65,-39.19,1431
37700,37.650,2054.25,-38.56,1431
37720,37.670,2054.86,-38.73,1432
37740,37.690,2055.39,-39.29,1432
37760,37.710,2055.97,-38.75,1432
37780,37.730,2056.53,-39.11,1432
37800,37.750,2057.08,-38.89,1433
37820,37.770,2057.70,-39.04,1433
37840,37.790,2058.28,-39.37,1434
37860,37.810,2058.86,-38.75,1435
37880,37.830,2059.44,-39.66,1436
37900,37.850,2060.05,-39.17,1436
37920,37.870,2060.71,-38.92,1437
37940,37.890,2061.26,-39.18,1438
37960,37.910,2061.84,-38.97,1438
37980,37.930,2062.49,-38.13,1438
38000,37.950,2063.13,-39.07,1438
38020,37.970,2063.68,-38.88,1440
38040,37.990,2064.33,-38.16,1441
38060,38.010,2064.99,-38.75,1441
38080,38.030,2065.63,-39.01,1441
38100,38.050,2066.22,-38.67,1444
38120,38.070,2066.90,-38.21,1445
38140,38.090,2067.60,-37.87,1446
38160,38.110,2068.25,-38.22,1446
38180,38.130,2068.90,-38.53,1447
38200,38.150,2069.50,-37.58,1448
38220,38.170,2070.02,-39.55,1449
38240,38.190,2070.40,-42.16,1450
38260,38.210,2070.71,-41.77,1451
38280,38.230,2071.02,-42.12,1451
38300,38.250,2071.33,-42.10,1452
38320,38.270,2071.70,-42.05,1453
38340,38.290,2072.04,-42.62,1454
38360,38.310,2072.39,-43.30,1455
38380,38.330,2072.70,-43.48,1457
38400,38.350,2072.99,-41.51,1460
38420,38.370,2073.28,-43.54,1461
38440,38.390,2073.59,-39.90,1462
38460,38.410,2073.92,-41.88,1463
38480,38.430,2074.17,-43.58,1465
38500,38.450,2074.52,-41.92,1465
38520,38.470,2074.82,-41.41,1467
38540,38.490,2075.11,-44.24,1468
38560,38.510,2075.39,-43.00,1469
38580,38.530,2075.73,-43.10,1470
38600,38.550,2076.04,-41.80,1470
38620,38.570,2076.30,-44.31,1471
38640,38.590,2076.59,-42.12,1471
38660,38.610,2076.91,-42.77,1472
38680,38.630,2077.20,-42.74,1473
38700,38.650,2077.49,-43.76,1475
38720,38.670,2077.77,-44.41,1476
38740,38.690,2078.08,-42.34,1476
38760,38.710,2078.39,-43.42,1478
38780,38.730,2078.70,-42.78,1478
38800,38.750,2079.03,-44.18,1479
38820,38.770,2079.30,-43.23,1479
38840,38.790,2079.64,-43.39,1480
38860,38.810,2079.88,-43.54,1481
38880,38.830,2080.19,-42.41,1481
38900,38.850,2080.47,-41.67,1482
38920,38.870,2080.75,-42.86,1484
38940,38.890,2081.07,-43.23,1485
38960,38.910,2081.42,-41.34,1488
38980,38.930,2081.76,-42.51,1490
39000,38.950,2082.05,-41.68,1491
39020,38.970,2082.36,-43.85,1492
39040,38.990,2082.69,-44.43,1495
39060,39.010,2082.97,-45.16,1497
39080,39.030,2083.24,-42.13,1497
39100,39.050,2083.51,-43.08,1498
39120,39.070,2083.80,-44.58,1499
39140,39.090,2084.05,-43.24,1500
39160,39.110,2084.36,-43.68,1503
39180,39.130,2084.66,-43.45,1504
39200,39.150,2084.96,-42.28,1504
39220,39.170,2085.23,-43.00,1506
39240,39.190,2085.52,-44.15,1508
39260,39.210,2085.83,-43.43,1510
39280,39.230,2086.09,-44.21,1512
39300,39.250,2086.37,-43.40,1513
39320,39.270,2086.65,-42.61,1515
39340,39.290,2086.93,-44.15,1517
39360,39.310,2087.19,-42.37,1519
39380,39.330,2087.50,-43.58,1521
39400,39.350,2087.84,-43.74,1522
39420,39.370,2088.10,-43.61,1524
39440,39.390,2088.42,-41.92,1526
39460,39.410,2088.70,-41.65,1528
39480,39.430,2088.95,-44.66,1530
39500,39.450,2089.21,-44.17,1531
39520,39.470,2089.47,-44.32,1532
39540,39.490,2089.75,-43.43,1534
39560,39.510,2090.04,-42.24,1535
39580,39.530,2090.30,-42.56,1537
39600,39.550,2090.59,-41.71,1541
39620,39.570,2090.85,-44.69,1542
39640,39.590,2091.15,-43.47,1544
39660,39.610,2091.39,-43.03,1546
39680,39.630,2091.65,-42.35,1547
39700,39.650,2091.94,-42.48,1548
39720,39.670,2092.18,-43.06,1551
39740,39.690,2092.46,-44.26,1553
39760,39.710,2092.72,-42.15,1556
39780,39.730,2092.97,-43.67,1557
39800,39.750,2093.23,-42.32,1559
39820,39.770,2093.49,-42.84,1561
39840,39.790,2093.74,-44.11,1564
39860,39.810,2094.00,-43.49,1566
39880,39.830,2094.31,-43.54,1569
39900,39.850,2094.64,-42.61,1569
39920,39.870,2094.97,-42.21,1570
39940,39.890,2095.27,-42.19,1570
39960,39.910,2095.58,-42.19,1572
39980,39.930,2095.92,-41.60,1573
40000,39.950,2096.31,-40.85,1574
40020,39.970,2096.73,-40.35,1574
40040,39.990,2097.14,-40.83,1574
40060,40.010,2097.56,-40.71,1576
40080,40.030,2097.98,-40.50,1576
40100,40.050,2098.40,-39.67,1577
40120,40.070,2098.85,-40.59,1578
40140,40.090,2099.25,-39.45,1579
40160,40.110,2099.61,-40.84,1580
40180,40.130,2099.97,-42.55,1580
40200,40.150,2100.35,-43.72,1582
40220,40.170,2100.68,-42.58,1583
40240,40.190,2100.97,-42.09,1584
40260,40.210,2101.28,-42.53,1585
40280,40.230,2101.63,-42.07,1587
