"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 159.4
Aoverall 162.3",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Phase GR Unit-III.3",,,,,,,,,,,,,,
"Boundary Start GR Unit-III.3",,,,,"94191","81169","103817","76955",,,,,95.6,
"Interval Elapsed time GR Unit-IV.3 -> GR Unit-III.3 (undated Unit-IV.1-IV.2)",,,,,"0","14665","0","26614",,,,,97.5,
"Boundary End GR Unit-IV.3",,,,,"108843","91738","116459","84585",,,,,95.2,
"N GR17-03 OSL","114066","96782","122204","88644","114261","99495","121477","92783",,105.7,,95,100,
"Phase GR Unit-IV.3",,,,,,,,,,,,,,
"Boundary Start GR Unit-IV.3",,,,,"124783","103453","138248","96325",,,,,92.8,
"Boundary End GR Unit-V",,,,,"146315","123513","155194","111211",,,,,91.4,
"N GR17-04 OSL","157499","138609","166394","129714","151956","133524","161126","124721",,92.3,,95,99.9,
"Phase GR Unit-V",,,,,,,,,,,,,,
"Boundary Start GR Unit-V",,,,,"158809","135046","172334","127847",,,,,43.8,
"Sequence GR_local_baseline_consolidado",,,,,,,,,,,,,,
"Difference d_Start_E_minus_End_F",,,,,"358","1794","-2","2230",,,,,99.6,
"Difference d_Start_F_minus_End_G",,,,,"1851","4108","234","4462",,,,,98.9,
"Difference d_Start_G_minus_End_H",,,,,"1294","3353","155","3747",,,,,98.5,
"Difference d_Start_H_minus_End_I",,,,,"97","1124","-2","1665",,,,,99.6,
"Boundary End ARB Level-E",,,,,"30301","29504","30686","28052",,,,,97.3,
"R_Date OxA-21669","30276","29907","30739","29518","30295","29970","30732","29797",,103.2,,95.6,99.7,
"R_Date OxA-21668","30720","30095","30866","30017","30423","30050","30777","29994",,107.3,,95.6,99.7,
"Phase ARB Level-E Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-E",,,,,"30917","30129","31786","30036",,,,,99.2,
"Interval Gap F-E",,,,,"353","1786","0","2237",,,,,99.7,
"Boundary End ARB Level-F",,,,,"32571","31418","32904","30688",,,,,99.3,
"R_Date OxA-21782","32888","31946","33312","31644","32870","32031","33192","31740",,106,,95.5,99.7,
"R_Date OxA-21781","32857","31931","33256","31650","32855","32009","33171","31742",,105.2,,95.5,99.7,
"Phase ARB Level-F Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-F",,,,,"33661","32167","35344","31903",,,,,98.6,
"Interval Gap G-F",,,,,"1831","4112","271","4463",,,,,99,
"Boundary End ARB Level-G",,,,,"36854","35643","37231","34072",,,,,98.4,
"R_Date OxA-21783","37000","36035","37610","35430","36993","36254","37520","35842",,109.5,,95.4,99.7,
"R_Date OxA-21667","37115","36138","38075","35562","37023","36297","37587","35960",,114.7,,95.5,99.7,
