"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 154
Aoverall 158.5",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End ARB Level-H",,,,,"40548","39199","40902","38237",,,,,97.7,
"R_Date OxA-21664","41599","40442","42002","39834","41122","40289","41498","39819",,103.6,,95.3,99.7,
"R_Date OxA-21784","41722","40535","42087","39855","41151","40305","41546","39825",,99.6,,95.3,99.7,
"R_Date OxA-21665","41599","40345","42020","39727","41100","40242","41491","39767",,107.1,,95.3,99.8,
"R_Date OxA-21674","39415","37815","40051","37090","40716","39554","41040","38843",,40.9,,93.3,99.5,
"R_Date SANU-29016","41464","40003","42070","39429","41041","40140","41482","39624",,114.5,,95.3,99.8,
"R_Date SANU-29019","41770","40315","42173","39558","41088","40167","41542","39684",,108.2,,95.3,99.7,
"R_Date SANU-29017","40812","39266","41462","37866","40905","39953","41239","39308",,113,,95.3,99.8,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"41619","40689","42103","40323",,,,,98.9,
"Interval Gap I-H",,,,,"142","1165","0","1685",,,,,99.4,
"Boundary End ARB Level-I",,,,,"42424","41804","42567","41183",,,,,98.7,
"R_Date OxA-21662","42319","41442","42730","40912","42521","42062","42755","41640",,94.3,,95.2,99.5,
"R_Date OxA-21704","43795","42283","44504","42037","42656","42209","43140","41978",,110.5,,95.3,98.7,
"R_Date OxA-19994","42549","42238","42750","42095","42516","42241","42692","42102",,106.5,,95.7,99.6,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"42938","42299","43872","42129",,,,,88.7,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End FO Unit-II",,,,,"9442","8268","9690","4473",,,,,89.3,
"Span Span FO Unit-II",,,,,"198","1328","3","5925",,,,,97.9,
"FO Unit-II age",,,,,"10770","8695","16194","6032",,,,,97.7,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9445","9315","9466","9292",,99.3,,94.8,99.2,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9891","9693","10113","9555",,99.7,,95.2,99.5,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"11883","9629","20143","9551",,,,,92.9,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"14161","20318","4674","20493",,,,,93.3,
"Boundary End FO Unit-IIIn",,,,,"30272","27328","30524","18592",,,,,95.2,
"Span Span FO Unit-IIIn",,,,,"373","1889","0","6421",,,,,99.7,
"FO Unit-IIIn age",,,,,"31788","29022","33588","24102",,,,,99.6,
"R_Date FO-004 Beta-674118 H. sanguineum","30202","30020","30327","29963","30214","30021","30348","29954",,98.6,,95.1,99.5,
"R_Date FO-003 OxA-24646 H. sanguineum","31052","30831","31121","30436","31058","30810","31114","30412",,95.2,,95.1,99.4,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-71.5","-10.5","-101.5","19.5",,99.8,,,99.9,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"32547","30837","33966","30503",,,,,99.3,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1075","3485","0","3734",,,,,99.5,
"Boundary End FO Unit-IIIc",,,,,"34883","33634","35193","32091",,,,,99.3,
