"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 159.4
Aoverall 162.4",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"R_Date OxA-21784","41722","40535","42087","39855","41145","40294","41543","39828",,99.7,,95.3,99.7,
"R_Date OxA-21665","41599","40345","42020","39727","41100","40239","41488","39765",,107.1,,95.3,99.7,
"R_Date OxA-21674","39415","37815","40051","37090","40728","39564","41046","38837",,40.9,,93.3,99.5,
"R_Date SANU-29016","41464","40003","42070","39429","41049","40146","41480","39629",,114.6,,95.3,99.8,
"R_Date SANU-29019","41770","40315","42173","39558","41090","40182","41535","39687",,108.4,,95.3,99.7,
"R_Date SANU-29017","40812","39266","41462","37866","40906","39954","41237","39304",,113,,95.3,99.7,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"41632","40687","42102","40328",,,,,99.1,
"Interval Gap I-H",,,,,"133","1164","0","1676",,,,,99.5,
"Boundary End ARB Level-I",,,,,"42422","41806","42576","41186",,,,,98.7,
"R_Date OxA-21662","42319","41442","42730","40912","42518","42059","42755","41643",,94.4,,95.2,99.5,
"R_Date OxA-21704","43795","42283","44504","42037","42650","42202","43134","41971",,110.1,,95.3,98.4,
"R_Date OxA-19994","42549","42238","42750","42095","42514","42238","42693","42103",,106.4,,95.7,99.4,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"42893","42284","43922","42144",,,,,89.7,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End FO Unit-II",,,,,"9435","8184","9477","4251",,,,,91.8,
"Span Span FO Unit-II",,,,,"202","1370","16","5915",,,,,99,
"FO Unit-II age",,,,,"10828","8637","16302","5813",,,,,98.7,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9445","9315","9465","9291",,99.5,,95,99.4,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9890","9693","10114","9555",,99.5,,95.1,99.5,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"12006","9633","20173","9556",,,,,93.6,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"14302","20338","4460","20519",,,,,94,
"Boundary End FO Unit-IIIn",,,,,"30280","27340","30412","18902",,,,,94.4,
"Span Span FO Unit-IIIn",,,,,"374","1941","0","6524",,,,,99.7,
"FO Unit-IIIn age",,,,,"31788","29030","33621","24132",,,,,99.6,
"R_Date FO-004 Beta-674118 H. sanguineum","30202","30020","30327","29963","30212","30021","30349","29953",,98.5,,95.1,99.5,
"R_Date FO-003 OxA-24646 H. sanguineum","31052","30831","31121","30436","31058","30808","31114","30412",,95,,95,99.5,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-72","-10.5","-102","19.5",,99.6,,,99.9,
