"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 152.6
Aoverall 156.3",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"R_Date OxA-21666","37814","36425","38911","36260","37219","36408","37950","36159",,112.5,,95.7,99.7,
"Phase ARB Level-G Evolved Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-G",,,,,"37928","36588","39267","36366",,,,,98.1,
"Interval Gap H-G",,,,,"1297","3424","142","3774",,,,,98.6,
"Boundary End ARB Level-H",,,,,"40550","39213","40897","38244",,,,,96.4,
"R_Date OxA-21664","41599","40442","42002","39834","41125","40298","41487","39820",,104.2,,95.7,99.5,
"R_Date OxA-21784","41722","40535","42087","39855","41144","40290","41541","39827",,100.1,,95.6,99.5,
"R_Date OxA-21665","41599","40345","42020","39727","41095","40233","41486","39770",,107.8,,95.8,99.4,
"R_Date OxA-21674","39415","37815","40051","37090","40741","39587","41082","38845",,40.1,,91.7,97.5,
"R_Date SANU-29016","41464","40003","42070","39429","41052","40152","41473","39633",,115.3,,95.7,99.4,
"R_Date SANU-29019","41770","40315","42173","39558","41088","40187","41533","39687",,108.9,,95.7,99.4,
"R_Date SANU-29017","40812","39266","41462","37866","40914","39971","41248","39318",,113.1,,95.7,98.9,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"41610","40669","42082","40280",,,,,99.1,
"Interval Gap I-H",,,,,"94","1124","0","1667",,,,,99.6,
"Boundary End ARB Level-I",,,,,"42417","41769","42577","41143",,,,,99.2,
"R_Date OxA-21662","42319","41442","42730","40912","42524","42040","42775","41615",,94.5,,95.6,99.7,
"R_Date OxA-21704","43795","42283","44504","42037","42690","42206","43263","41968",,112.5,,95.7,99.7,
"R_Date OxA-19994","42549","42238","42750","42095","42521","42242","42706","42106",,106.6,,96.2,99.8,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"43013","42301","44246","42155",,,,,91.4,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End FO Unit-II",,,,,"24053","6971","24058","-379",,,,,,
"Span Span FO Unit-II",,,,,"3","1935","0","7170",,,,,41.6,
"FO Unit-II age",,,,,"24059","7901","24814","4548",,,,,,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9455","9307","24383","4388",,87.9,,83.2,,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9895","9689","24075","9505",,91.7,,86.8,,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"24065","9602","26613","9561",,,,,0.1,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"2845","20350","0","20405",,,,,3.4,
"Boundary End FO Unit-IIIn",,,,,"30276","27053","30397","11712",,,,,84.4,
"Span Span FO Unit-IIIn",,,,,"354","1939","0","6421",,,,,98,
"FO Unit-IIIn age",,,,,"31900","28898","33818","13526",,,,,93.2,
"R_Date FO-004 Beta-674118 H. sanguineum","30202","30020","30327","29963","30223","30017","30738","13984",,94.7,,91.1,97.5,
"R_Date FO-003 OxA-24646 H. sanguineum","31052","30831","31121","30436","31068","30793","31188","30244",,91,,90.8,98.4,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-71.5","-10.5","-101.5","20",,99.7,,,99.9,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"32661","30818","34841","30341",,,,,96,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"969","3540","0","5405",,,,,95.5,
"Boundary End FO Unit-IIIc",,,,,"34946","33625","36537","31938",,,,,91.4,
"Span Span FO Unit-IIIc",,,,,"2122","3350","475","4497",,,,,92.3,
"FO Unit-IIIc age",,,,,"37310","34773","38376","33650",,,,,95.5,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37015","35897","37577","35337",,107.3,,95.5,98.6,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37779","36874","38407","36441",,91.9,,94.4,98.6,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35113","34428","36798","34219",,85.6,,90.6,95.7,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","37013","36207","37652","35718","36992","36217","37564","35756",,106.1,,82.1,99.3,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","36990","36212","37609","35771","36981","36227","37542","35788",,105.6,,82.1,99.4,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38357","37163","39143","36823",,,,,97.9,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"0","1236","0","2145",,,,,99.4,
"Boundary End FO Unit-IV.1-IV",,,,,"39624","38343","39903","37509",,,,,99.7,
"Span Span FO Unit-IV.1-IV",,,,,"302","2406","22","5645",,,,,99.5,
"FO Unit-IV.1-IV age",,,,,"42188","39195","45314","37922",,,,,99.5,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40816","39172","41768","38346",,107.8,,66.6,98.8,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39905","39464","40250","39295",,97.8,,,99.7,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"44041","41470","48902","41133",,,,,88.1,
"Sequence FO_local_baseline_consolidado_v1",,,,,,,,,,,,,,
"Boundary End AR full sequence",,,,,"41457","40210","41748","39285",,,,,81.4,
"Boundary End AR Carbonates above A",,,,,"41605","40768","41874","40123",,,,,98.8,
"AR Age Carbonates above A",,,,,"41685","40972","41921","40443",,,,,99.3,
"N AR4 average age","43733","41467","44800","40400","41709","40950","41929","40466",,69.1,,95.1,99.5,
"R_Date USGS-2839","42191","40296","43129","39037","41679","40971","41916","40469",,132.7,,95.7,99.3,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41782","41153","41991","40717",,,,,99.1,
"Boundary End AR Level A",,,,,"41936","41457","42088","41132",,,,,99.2,
"AR Age Level A",,,,,"42072","41637","42242","41351",,,,,99.7,
"R_Date UA3","42758","41647","43865","41020","42090","41661","42249","41393",,104.9,,95.8,99.7,
"R_Date UA1","42320","41317","42812","40632","42072","41650","42223","41379",,131.7,,96,99.8,
"R_Date AA-6608","42176","41029","42583","40124","42060","41640","42210","41360",,128.7,,96,99.7,
"R_Date OxA-11967","41541","40469","41961","39900","42023","41613","42166","41320",,51.8,,94.8,99.7,
"R_Date AA-7395","42400","41290","43045","40495","42075","41653","42227","41376",,134,,96,99.7,
"R_Date NZA-2311","41976","41126","42273","40597","42044","41630","42185","41366",,111,,96,99.7,
"R_Date AA-8037B","42758","41647","43865","41020","42090","41662","42250","41395",,104.9,,95.7,99.7,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42230","41802","42420","41546",,,,,99,
"Boundary End AR Carbonates below A",,,,,"42567","42232","42706","41990",,,,,99.5,
"AR Age Carbonates below A",,,,,"42634","42343","42780","42160",,,,,99.9,
"N AR U-series 42700±200","42906","42494","43100","42300","42638","42378","42768","42244",,86.6,,95.8,99.9,
"N AR U-series 42500±200","42706","42294","42900","42100","42620","42358","42746","42218",,119.9,,96.4,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42713","42445","42861","42311",,,,,99.8,
"Boundary End AR Level B",,,,,"42843","42560","43020","42420",,,,,99.8,
"AR Age Level B",,,,,"42972","42623","43294","42476",,,,,99.9,
"R_Date OxA-12025","42811","42496","42990","42364","42915","42638","43101","42507",,88.9,,95.5,99.9,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43113","42674","43581","42529",,,,,99.5,
"Boundary End AR Level D",,,,,"43717","42913","44278","42729",,,,,99.5,
"AR Age Level D",,,,,"44015","43121","44555","42872",,,,,99.8,
"R_Date NZA-2313","44410","43055","45285","42611","44004","43136","44502","42900",,118.5,,95.8,99.8,
