"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 140.6
"N AR J-I U-series 46900±2600","49578","44222","52100","41700","48510","47314","49108","46768",,128.9,,95.7,98.7,
"N AR J-I U-series 48600±2300","50969","46231","53200","44000","48558","47293","49110","46787",,133,,95.8,98.6,
"N AR J-I U-series 46500±1500","48045","44955","49500","43500","48515","47315","49070","46775",,90.1,,95.6,98.7,
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48722","47473","49364","46939",,,,,96.5,
"Boundary End AR Level J",,,,,"49236","47768","50139","47139",,,,,97,
"AR Age Level J",,,,,"49462","47935","50494","47286",,,,,97,
"R_Date NZA-2316","52527","47569","...","46839","49469","47952","50498","47288",,118.4,,95.7,97,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49749","48061","50905","47369",,,,,96.1,
"Boundary End AR Carbonate above J",,,,,"50237","48324","51593","47623",,,,,95.1,
"AR Age Carbonate above J",,,,,"50527","48466","51920","47760",,,,,94.4,
"N AR U-series 50400±2600","53078","47722","55600","45200","50538","48432","51994","47678",,127.3,,95.7,95.5,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50998","48323","52409","47932",,,,,53,
"Sequence Abric Romani — full sequence structural consolidado v1",,,,,,,,,,,,,,
"Phase M5-FPM-S2 regional PM end baseline refined",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","0.084","3.876","5.37764e-17","3.904",,100,,,39.2,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,91.2,
"Outlier_Model General",,,,,"-754","649","-5846","3040",,,,,97.6,
"Curve Atmospheric",,,,,,,,,,,,,,
