"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 151.3
Aoverall 157.1",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End S1B",,,,,"42630","41307","42793","39985",,,,,99.4,
"R_Date Beta-224299","42681","42326","42902","42176","42676","42320","42905","42163",,100.4,,95.3,99.6,
"Phase S1B",,,,,,,,,,,,,,
"Boundary Start S1B",,,,,"43900","42315","48374","42137",,,,,95.8,
"Sequence CGSL_transition_core_S1_without_Beta207578",,,,,,,,,,,,,,
"Difference d_Start_E_minus_End_F",,,,,"410","1839","1","2239",,,,,99.6,
"Difference d_Start_F_minus_End_G",,,,,"1828","4116","253","4492",,,,,99,
"Difference d_Start_G_minus_End_H",,,,,"1274","3373","143","3760",,,,,98.7,
"Difference d_Start_H_minus_End_I",,,,,"133","1161","-2","1683",,,,,99.6,
"Boundary End ARB Level-E",,,,,"30307","29632","30713","28577",,,,,95.5,
"R_Date OxA-21669","30276","29907","30739","29518","30308","29979","30743","29835",,100.3,,95.4,98.9,
"R_Date OxA-21668","30720","30095","30866","30017","30426","30051","30781","30000",,107.4,,95.5,99.7,
"Phase ARB Level-E Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-E",,,,,"30885","30130","31730","30037",,,,,99.2,
"Interval Gap F-E",,,,,"418","1840","0","2236",,,,,99.6,
"Boundary End ARB Level-F",,,,,"32556","31408","32913","30665",,,,,99.4,
"R_Date OxA-21782","32888","31946","33312","31644","32851","32015","33193","31740",,105.9,,95.4,99.7,
"R_Date OxA-21781","32857","31931","33256","31650","32846","32015","33166","31741",,105.2,,95.4,99.8,
"Phase ARB Level-F Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-F",,,,,"33686","32148","35354","31885",,,,,98.5,
"Interval Gap G-F",,,,,"1829","4110","223","4442",,,,,99.1,
"Boundary End ARB Level-G",,,,,"36853","35636","37207","34079",,,,,98.3,
"R_Date OxA-21783","37000","36035","37610","35430","36993","36256","37519","35836",,109.4,,95.3,99.7,
"R_Date OxA-21667","37115","36138","38075","35562","37026","36297","37581","35955",,114.6,,95.4,99.7,
"R_Date OxA-21666","37814","36425","38911","36260","37215","36409","37963","36162",,111.9,,95.3,99.7,
"Phase ARB Level-G Evolved Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-G",,,,,"37926","36593","39250","36343",,,,,98.3,
"Interval Gap H-G",,,,,"1304","3373","144","3764",,,,,98.7,
"Boundary End ARB Level-H",,,,,"40549","39191","40873","38243",,,,,97.1,
"R_Date OxA-21664","41599","40442","42002","39834","41119","40288","41503","39833",,103.6,,95.3,99.7,
"R_Date OxA-21784","41722","40535","42087","39855","41148","40288","41535","39824",,99.6,,95.3,99.7,
