"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 153.5
Aoverall 158.9",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End S1B",,,,,"42626","41289","42791","39998",,,,,99.4,
"R_Date Beta-224299","42681","42326","42902","42176","42677","42319","42911","42160",,100.2,,95.1,99.6,
"Phase S1B",,,,,,,,,,,,,,
"Boundary Start S1B",,,,,"43873","42304","48322","42116",,,,,95.2,
"Sequence CGSL_transition_core_S1_without_Beta207578",,,,,,,,,,,,,,
"Difference d_Start_E_minus_End_F",,,,,"398","1818","0","2250",,,,,99.5,
"Difference d_Start_F_minus_End_G",,,,,"1850","4136","190","4457",,,,,99.1,
"Difference d_Start_G_minus_End_H",,,,,"1300","3347","147","3735",,,,,98.8,
"Difference d_Start_H_minus_End_I",,,,,"124","1150","-2","1676",,,,,99.6,
"Boundary End ARB Level-E",,,,,"30295","29620","30696","28575",,,,,95.4,
"R_Date OxA-21669","30276","29907","30739","29518","30306","29978","30740","29834",,100.8,,95.4,99,
"R_Date OxA-21668","30720","30095","30866","30017","30426","30052","30777","29999",,107.4,,95.5,99.7,
"Phase ARB Level-E Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-E",,,,,"30883","30129","31740","30035",,,,,99.2,
"Interval Gap F-E",,,,,"371","1818","0","2240",,,,,99.5,
"Boundary End ARB Level-F",,,,,"32557","31403","32905","30668",,,,,99.4,
"R_Date OxA-21782","32888","31946","33312","31644","32855","32016","33190","31740",,105.9,,95.4,99.8,
"R_Date OxA-21781","32857","31931","33256","31650","32843","32012","33165","31741",,105.2,,95.4,99.8,
"Phase ARB Level-F Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-F",,,,,"33687","32162","35392","31892",,,,,98.5,
"Interval Gap G-F",,,,,"1847","4134","238","4456",,,,,99,
"Boundary End ARB Level-G",,,,,"36861","35649","37220","34088",,,,,98.5,
"R_Date OxA-21783","37000","36035","37610","35430","36995","36256","37522","35838",,109.4,,95.4,99.7,
"R_Date OxA-21667","37115","36138","38075","35562","37023","36300","37586","35956",,114.6,,95.4,99.8,
"R_Date OxA-21666","37814","36425","38911","36260","37219","36409","37944","36157",,112,,95.3,99.7,
"Phase ARB Level-G Evolved Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-G",,,,,"37910","36583","39238","36341",,,,,98.4,
"Interval Gap H-G",,,,,"1297","3327","148","3753",,,,,98.7,
"Boundary End ARB Level-H",,,,,"40547","39203","40898","38254",,,,,97.4,
"R_Date OxA-21664","41599","40442","42002","39834","41125","40295","41525","39829",,103.8,,95.3,99.6,
"R_Date OxA-21784","41722","40535","42087","39855","41148","40279","41542","39834",,99.8,,95.3,99.5,
"R_Date OxA-21665","41599","40345","42020","39727","41095","40238","41524","39776",,107.3,,95.3,99.6,
"R_Date OxA-21674","39415","37815","40051","37090","40721","39579","41044","38837",,40.9,,93.2,99.3,
"R_Date SANU-29016","41464","40003","42070","39429","41044","40141","41524","39637",,114.7,,95.3,99.6,
"R_Date SANU-29019","41770","40315","42173","39558","41090","40179","41534","39681",,108.4,,95.3,99.6,
"R_Date SANU-29017","40812","39266","41462","37866","40912","39955","41244","39312",,112.8,,95.3,99.6,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"41619","40698","42105","40331",,,,,98.9,
"Interval Gap I-H",,,,,"123","1155","0","1672",,,,,99.6,
"Boundary End ARB Level-I",,,,,"42425","41803","42570","41175",,,,,98.6,
"R_Date OxA-21662","42319","41442","42730","40912","42517","42057","42758","41639",,94.4,,95.2,99.4,
"R_Date OxA-21704","43795","42283","44504","42037","42655","42204","43146","41980",,110.3,,95.3,98.6,
"R_Date OxA-19994","42549","42238","42750","42095","42515","42237","42694","42105",,106.3,,95.7,99.6,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"42936","42284","43898","42152",,,,,87.9,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End FO Unit-II",,,,,"9437","8278","9570","4680",,,,,90.9,
"Span Span FO Unit-II",,,,,"201","1328","6","5754",,,,,98.4,
"FO Unit-II age",,,,,"10764","8700","16060","6018",,,,,98,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9445","9315","9465","9292",,99.7,,95.1,99.4,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9890","9693","10114","9554",,99.8,,95.2,99.2,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"11925","9607","19959","9549",,,,,93.7,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"14157","20331","4750","20506",,,,,93.6,
"Boundary End FO Unit-IIIn",,,,,"30270","27248","30393","18678",,,,,94.4,
