"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 157.4
Aoverall 163.2",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End ARB Level-H",,,,,"40539","39207","40878","38228",,,,,97.5,
"R_Date OxA-21664","41599","40442","42002","39834","41127","40299","41503","39830",,103.8,,95.3,99.8,
"R_Date OxA-21784","41722","40535","42087","39855","41146","40288","41549","39833",,99.8,,95.3,99.7,
"R_Date OxA-21665","41599","40345","42020","39727","41095","40238","41490","39769",,107.3,,95.3,99.7,
"R_Date OxA-21674","39415","37815","40051","37090","40726","39549","41041","38848",,40.9,,93.3,99.4,
"R_Date SANU-29016","41464","40003","42070","39429","41051","40147","41481","39632",,114.7,,95.3,99.8,
"R_Date SANU-29019","41770","40315","42173","39558","41087","40185","41543","39688",,108.4,,95.3,99.8,
"R_Date SANU-29017","40812","39266","41462","37866","40911","39966","41244","39308",,113,,95.3,99.8,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"41626","40707","42108","40341",,,,,99,
"Interval Gap I-H",,,,,"136","1184","0","1675",,,,,99.4,
"Boundary End ARB Level-I",,,,,"42422","41811","42577","41185",,,,,99,
"R_Date OxA-21662","42319","41442","42730","40912","42513","42059","42754","41646",,94.6,,95.2,99.6,
"R_Date OxA-21704","43795","42283","44504","42037","42641","42199","43123","41978",,109.4,,95.3,99,
"R_Date OxA-19994","42549","42238","42750","42095","42512","42237","42689","42100",,106.4,,95.6,99.6,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"42912","42279","43791","42149",,,,,87.8,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End FO Unit-II",,,,,"9445","8102","9774","3503",,,,,92.9,
"Span Span FO Unit-II",,,,,"195","1423","0","6161",,,,,99.2,
"FO Unit-II age",,,,,"10848","8617","16335","5303",,,,,98.9,
