"site_code","site","bin_key","component","n_dates","median_cal_ka","min_cal_ka","max_cal_ka","cal_95_older_ka","cal_68_older_ka","cal_68_younger_ka","cal_95_younger_ka","cultural_attribution","time_window","map_site_code","site_name","municipality","comarca","province","latitude","longitude","utm_epsg","utm_easting","utm_northing","source_type","source_detail","coord_note"
"FM","Cova de la Font Major","FM_CDS_inf-2","Non-diagnostic human presence",1,35.767,35.767,35.767,36.124,35.98,35.553,35.393,"UP","37-35","FM","Cova de la Font Major","L'Espluga de Francolí","Conca de Barberà","Tarragona",41.398333,1.101111,"EPSG:25831",341262.145841783,4584717.15826501,"Cave map / OSM","Grottomap / cave entrance coordinates","Coordenada de entrada/cavidad; para cartografía arqueológica urbana puede convenir ajustar manualmente."
"FO","Cova Foradada","FO_IIIc","Aurignacian",5,37.674,34.615,37.898,39.076,38.629,34.464,34.326,"Early Aurignacian","39-37","FO","Cova Foradada","Calafell","Baix Penedès","Tarragona",41.20469,1.58103,"EPSG:25831",381030.773490386,4562450.56252965,"OSM/Mapcarta","Mapcarta / OpenStreetMap entry for Cova Foradada","Coordenada del yacimiento arqueológico."
"FO","Cova Foradada","FO_IIIn","Gravettian",2,29.609,29.235,29.983,30.264,30.107,29.06,28.926,"Gravettian","31-29","FO","Cova Foradada","Calafell","Baix Penedès","Tarragona",41.20469,1.58103,"EPSG:25831",381030.773490386,4562450.56252965,"OSM/Mapcarta","Mapcarta / OpenStreetMap entry for Cova Foradada","Coordenada del yacimiento arqueológico."
"FO","Cova Foradada","FO_IV-IV.1","Chatelperronian",2,39.684,39.656,39.712,40.399,40.016,39.367,39.044,"Chatelperronian","41-39","FO","Cova Foradada","Calafell","Baix Penedès","Tarragona",41.20469,1.58103,"EPSG:25831",381030.773490386,4562450.56252965,"OSM/Mapcarta","Mapcarta / OpenStreetMap entry for Cova Foradada","Coordenada del yacimiento arqueológico."
"GE","Cova del Gegant","GE_II","Non-diagnostic human presence",3,30.581,30.259,31.241,31.615,31.45,30.148,30.071,"EUP","31-29","CG","Cova del Gegant","Sitges","Garraf","Barcelona",41.22221,1.77243,"EPSG:25831",397105.940356368,4564151.38490968,"Inventario patrimonial","Mapes de Patrimoni Cultural (DIBA)","Coordenada patrimonial del yacimiento."
"GE","Cova del Gegant","GE_III","Non-diagnostic human presence",1,32.704,32.704,32.704,33.568,33.143,32.256,31.968,"EUP","33-31","CG","Cova del Gegant","Sitges","Garraf","Barcelona",41.22221,1.77243,"EPSG:25831",397105.940356368,4564151.38490968,"Inventario patrimonial","Mapes de Patrimoni Cultural (DIBA)","Coordenada patrimonial del yacimiento."
"GE","Cova del Gegant","GE_IV","Non-diagnostic human presence",3,39.771,39.759,41.122,41.782,41.453,38.393,37.215,"UP","41-39","CG","Cova del Gegant","Sitges","Garraf","Barcelona",41.22221,1.77243,"EPSG:25831",397105.940356368,4564151.38490968,"Inventario patrimonial","Mapes de Patrimoni Cultural (DIBA)","Coordenada patrimonial del yacimiento."
"GR","La Griera","GR_IIa","Aurignacian",3,35.202,33.012,35.698,36.089,35.93,32.483,32.25,"Late Aurignacian","37-35","GR","La Griera","Calafell","Baix Penedès","Tarragona",41.22153,1.57602,"EPSG:25831",380641.333447955,4564326.97547533,"OSM/Mapcarta","Mapcarta / OpenStreetMap node for Balma de La Graiera (aka Balma de la Griera)","Útil para mapa de trabajo; conviene verificar sobre ortofoto si necesitas máxima precisión de boca/sondeo."
"TX","Teixoneres","TX_Chamber_X_II","Non-diagnostic human presence",3,42.628,41.718,43.803,44.4,44.175,41.508,41.344,"uncertain","43-41","TX","Cova de les Teixoneres","Moià","Moianès","Barcelona",41.806944,2.150556,"EPSG:25831",429438.538907301,4628690.49568126,"IPHES / artículo científico","IPHES field project + publicaciones con coordenadas del karst Toll-Teixoneres","Coordenada del sistema karst / yacimiento Teixoneres."
"TX","Teixoneres","TX_Chamber_X_III","MP",2,44.397,44.05,44.744,45.319,45.017,43.534,43.257,"MP","45-43","TX","Cova de les Teixoneres","Moià","Moianès","Barcelona",41.806944,2.150556,"EPSG:25831",429438.538907301,4628690.49568126,"IPHES / artículo científico","IPHES field project + publicaciones con coordenadas del karst Toll-Teixoneres","Coordenada del sistema karst / yacimiento Teixoneres."
