"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 71.8
Aoverall 92",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"N AR J-I U-series 46500±1500","48045","44955","49500","43500","48410","47255","49025","46700",,93.4,,95.6,98.1,
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48651","47425","49303","46866",,,,,95.9,
"Boundary End AR Level J",,,,,"49126","47688","50007","47035",,,,,96.2,
"AR Age Level J",,,,,"49332","47823","50293","47119",,,,,96,
"R_Date NZA-2316","52527","47569","...","46839","49350","47841","50302","47149",,115.6,,95.7,96.1,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49574","47949","50650","47222",,,,,95.3,
"Boundary End AR Carbonate above J",,,,,"50083","48179","51314","47435",,,,,94.2,
"AR Age Carbonate above J",,,,,"50270","48298","51634","47530",,,,,94.2,
"N AR U-series 50400±2600","53078","47722","55600","45200","50278","48328","51630","47522",,124.8,,95.6,95,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50601","48333","51900","47622",,,,,73.1,
"Sequence Abric Romani — full sequence structural v1.1",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","2.62","3.428","0.184","4",,100,,,98.1,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,97.8,
"Outlier_Model General",,,,,"-143","1549","-1507","2033",,,,,96.8,
"Curve Atmospheric",,,,,,,,,,,,,,
