"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 117.1
Aoverall 134.7",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary Start AR Travertine J-I",,,,,"48683","47428","49308","46893",,,,,95.6,
"Boundary End AR Level J",,,,,"49152","47709","50027","47095",,,,,95.8,
"AR Age Level J",,,,,"49389","47868","50325","47188",,,,,95.7,
"R_Date NZA-2316","52527","47569","...","46839","49390","47876","50352","47193",,116.5,,95.7,95.7,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49613","47976","50681","47277",,,,,94.9,
"Boundary End AR Carbonate above J",,,,,"50097","48223","51360","47452",,,,,93.8,
"AR Age Carbonate above J",,,,,"50334","48364","51695","47605",,,,,93.4,
"N AR U-series 50400±2600","53078","47722","55600","45200","50356","48354","51708","47574",,125.7,,95.7,94.2,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50797","48401","51992","47703",,,,,62,
"Sequence Abric Romani — full sequence structural v1.1",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","2.54","3.584","5.37764e-17","4",,100,,,98.7,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,98.5,
"Outlier_Model General",,,,,"-278","1607","-1685","2041",,,,,97.6,
"Curve Atmospheric",,,,,,,,,,,,,,
