"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 176.6
Aoverall 179.4",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"R_Date NZA-2316","52527","47569","...","46839","49317","47810","50246","47120",,114.6,,95.3,97.7,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49535","47922","50575","47199",,,,,97.2,
"Boundary End AR Carbonate above J",,,,,"49977","48143","51246","47395",,,,,96.3,
"AR Age Carbonate above J",,,,,"50239","48248","51486","47492",,,,,96.1,
"N AR U-series 50400±2600","53078","47722","55600","45200","50252","48276","51526","47470",,123.8,,95.2,97.1,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50543","48273","51773","47531",,,,,77.2,
"Sequence Abric Romani — full sequence structural v1.1",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.316","5.37764e-17","3.536",,100,,,99.9,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.9,
"Outlier_Model General",,,,,"-99","101","-1047","1006",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
