"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 67.7
Aoverall 70.5",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48567","47342","49186","46758",,,,,94.8,
"Boundary End AR Level J",,,,,"48997","47564","49810","46937",,,,,94.8,
"AR Age Level J",,,,,"49189","47709","50092","47034",,,,,94.5,
"R_Date NZA-2316","52527","47569","...","46839","49202","47712","50078","47038",,111.9,,95.3,94.6,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49416","47826","50389","47116",,,,,93.7,
"Boundary End AR Carbonate above J",,,,,"49847","48031","50986","47282",,,,,92,
"AR Age Carbonate above J",,,,,"50056","48101","51243","47380",,,,,91.3,
"N AR U-series 50400±2600","53078","47722","55600","45200","50096","48120","51292","47340",,121.2,,95.3,92.3,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50367","48108","51604","47347",,,,,66.4,
"Sequence Abric Romani — full sequence structural v1",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","1.488","3.504","5.37764e-17","3.548",,100,,,99.5,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.7,
"Outlier_Model General",,,,,"-246","1001","-1271","1493",,,,,99.9,
"Curve Atmospheric",,,,,,,,,,,,,,
