"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 184.7
Aoverall 189.6",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49532","47939","50582","47203",,,,,96.4,
"Boundary End AR Carbonate above J",,,,,"49998","48167","51234","47430",,,,,95,
"AR Age Carbonate above J",,,,,"50224","48266","51526","47500",,,,,94.6,
"N AR U-series 50400±2600","53078","47722","55600","45200","50252","48276","51552","47470",,123.9,,95.2,95.4,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50617","48277","51935","47599",,,,,62.7,
"Sequence Abric Romani — full sequence structural baseline candidate v1",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.32","5.37764e-17","3.552",,100,,,99.9,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.9,
"Outlier_Model General",,,,,"-105","105","-1080","1124",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
